거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-08,14,인천시,태양광,29.329251
2024-01-08,15,인천시,태양광,23.446274
2024-01-08,16,인천시,태양광,15.181397
2024-01-08,17,인천시,태양광,10.658554
2024-01-08,18,인천시,태양광,6.527501
2024-01-08,19,인천시,태양광,2.129059
2024-01-08,20,인천시,태양광,2.197482
2024-01-08,21,인천시,태양광,1.420423
2024-01-08,22,인천시,태양광,0.011234
2024-01-08,23,인천시,태양광,0.0036
2024-01-08,24,인천시,태양광,0.0
2024-01-09,1,인천시,태양광,0.0
2024-01-09,2,인천시,태양광,0.0
2024-01-09,3,인천시,태양광,0.0
2024-01-09,4,인천시,태양광,0.0
2024-01-09,5,인천시,태양광,0.0
2024-01-09,6,인천시,태양광,8e-05
2024-01-09,7,인천시,태양광,0.0
2024-01-09,8,인천시,태양광,0.0
2024-01-09,9,인천시,태양광,0.005132
2024-01-09,10,인천시,태양광,0.364498
2024-01-09,11,인천시,태양광,0.868569
2024-01-09,12,인천시,태양광,1.480997
2024-01-09,13,인천시,태양광,2.506232
2024-01-09,14,인천시,태양광,1.779432
2024-01-09,15,인천시,태양광,1.483773
2024-01-09,16,인천시,태양광,1.267712
2024-01-09,17,인천시,태양광,1.109786
2024-01-09,18,인천시,태양광,0.049581
2024-01-09,19,인천시,태양광,0.01472
2024-01-09,20,인천시,태양광,0.0
2024-01-09,21,인천시,태양광,0.0
2024-01-09,22,인천시,태양광,0.0
2024-01-09,23,인천시,태양광,8e-05
2024-01-09,24,인천시,태양광,0.0
2024-01-10,1,인천시,태양광,0.0
2024-01-10,2,인천시,태양광,0.0
2024-01-10,3,인천시,태양광,0.0
2024-01-10,4,인천시,태양광,0.0
2024-01-10,5,인천시,태양광,0.0
2024-01-10,6,인천시,태양광,0.0
2024-01-10,7,인천시,태양광,0.0
2024-01-10,8,인천시,태양광,0.002855
2024-01-10,9,인천시,태양광,1.418211
2024-01-10,10,인천시,태양광,5.481415
2024-01-10,11,인천시,태양광,7.509342
2024-01-10,12,인천시,태양광,11.302877
2024-01-10,13,인천시,태양광,14.912526
2024-01-10,14,인천시,태양광,16.365024
2024-01-10,15,인천시,태양광,17.430555
2024-01-10,16,인천시,태양광,13.175636
2024-01-10,17,인천시,태양광,10.203825
2024-01-10,18,인천시,태양광,2.456026
2024-01-10,19,인천시,태양광,0.948345
2024-01-10,20,인천시,태양광,0.65248
2024-01-10,21,인천시,태양광,0.06252
2024-01-10,22,인천시,태양광,0.00264
2024-01-10,23,인천시,태양광,0.0
2024-01-10,24,인천시,태양광,0.0
2024-01-11,1,인천시,태양광,0.0
2024-01-11,2,인천시,태양광,0.0
2024-01-11,3,인천시,태양광,0.0
2024-01-11,4,인천시,태양광,0.0
2024-01-11,5,인천시,태양광,0.0
2024-01-11,6,인천시,태양광,0.0
2024-01-11,7,인천시,태양광,0.0
2024-01-11,8,인천시,태양광,0.001227
2024-01-11,9,인천시,태양광,1.681897
2024-01-11,10,인천시,태양광,6.447653
2024-01-11,11,인천시,태양광,13.10522
2024-01-11,12,인천시,태양광,18.511928
2024-01-11,13,인천시,태양광,18.8936
2024-01-11,14,인천시,태양광,11.113027
